,msg_id,date,name,rating,msg_review
15,chzdsuhnmg9ns0vjq0fnsunumwjeefvbeae,3 hari lalu,kp - dwi kunantaka,5 bintang,segar dan asri sangat rekomendasi
16,chzdsuhnmg9ns0vjq0fnsunubxf1m2zbeae,4 hari lalu,fuji margiati,5 bintang,kalau mau ke sini lebih baik lewat pintu gate   kalau di gmaps pasti diarahin lewat pintu satunya yg lewat tanjakan curam  asli harus ancang karna mobil sempet ga kuat nanjak dan berenti di tengah tanjakan  cukup panik untung petugasnya
17,chddsuhnmg9ns0vjq0fnsunuavpqrhnbrrab,4 hari lalu,ariansyah rozi saputra,5 bintang,saya suka itu
18,chzdsuhnmg9ns0vjq0fnsunudhzqvurbeae,6 hari lalu,rofiq perwira,4 bintang,alternatif wisata yang bisa dicoba di daerah kulon progo  jalan ke lokasi masih bisa dijangkau oleh mobil  parkir mobil luas  acung jempol buat pengelola  saya rasa fasilitas terkelola cukup baik  ada beberapa kolam yang bisa dicoba untuk
19,chzdsuhnmg9ns0vjq0fnsununxnmm0nbeae,6 hari lalu,slamet widodo,5 bintang,poll bagus n bikin seger pas ceburan air kl ndk rame lebih baik pas hari biasa jgn hr libur
20,chddsuhnmg9ns0vjq0fnsunulxjtbzj3rrab,seminggu lalu,mary syiefa,5 bintang,wisata air sungai yang sangat menyenangkan
21,chzdsuhnmg9ns0vjq0fnsunuaxbuwudreae,seminggu lalu,junika kurniawan,5 bintang,wisata yg eksotis di tempat yg tersembunyi balik ramainya jogja  tiket masuk cuman  rb  sewa pelampung  rb  sewa ban  rb  airnya sejuk  bersih dan banyak yang jual makanan dg harga yg wajar
22,chddsuhnmg9ns0vjq0fnsunuz29mn3lnrrab,seminggu lalu,yanuar chanel,3 bintang,tempat nyaman asri sangat cocok untuk trafeling
23,chzdsuhnmg9ns0vjq0fnsunuz3jitvfneae,seminggu lalu,ikartini afandi,5 bintang,seger banget airnya  htm cuma k  wisata alami  cocok buat healing  ada banyak kolam dg berbagai kedalaman  wajib nyemplung berendam dan harus bawa baju ganti  tetap dijaga kebersihannya yaaa
24,chddsuhnmg9ns0vjq0fnsunum05pbnl3rrab,seminggu lalu,raysa r. anggiani,5 bintang,buat yang suka wisata air pasti puas karena banyak pilihan kolam buat sekadar berendam atau berenang  tapi buat yang nggak suka main air pun masih bisa menikmati pemandangan sungainya yang alirannya seperti air terjun  tiket masuknya
26,chzdsuhnmg9ns0vjq0fnsunubfbtofhneae,seminggu lalu,erick yoku,5 bintang,usahakan kalo mau ke sini datang dengan kendaraan yang cc besar sehingga mudah untuk naik tanjakan
27,chzdsuhnmg9ns0vjq0fnsunulvazdllbeae,seminggu lalu,arbo info,5 bintang,luar biasa
28,chzdsuhnmg9ns0vjq0fnsunucutiulr3eae,seminggu lalu,agung wisnugroho,5 bintang,tempat yang bagus dan bagus untuk basah basahan atau sekedar bermain di kolam   jalan menuju ke sana sungguh terjal  siapkan kendaraan anda  atau coba gunakan jalur sepeda motor untuk memudahkan akses
29,chddsuhnmg9ns0vjq0fnsunud0ltmhj3rrab,seminggu lalu,ari aditiya,5 bintang,bagusuuus
30,chddsuhnmg9ns0vjq0fnsunud09ut3f3rrab,seminggu lalu,masqoenedi moriska fz 21.94.0217,5 bintang,tempat yang seru untuk berlibur bersama keluar   saudara dan juga banyak pilihan sungai yang aksesnya mudah untuk gunakan
31,chzdsuhnmg9ns0vjq0fnsunqedhqukhreae,seminggu lalu,yani kustriyanto,5 bintang,baguss buat ngadem  klo weekend rame  banyak jajanan  tp klo mau bawa bekal jg oke  jalan menuju lokasi halus mulus  agak naik turun
32,chzdsuhnmg9ns0vjq0fnsurqn18zuenbeae,seminggu lalu,erna widy,5 bintang,lokasi agak jauh dari kota jogja tp worth it banget karena terbayar dengan view di sepanjang jalan menuju lokasi dan pas sampe di sungai mudalnya  airnya jernih dan bersih  suasana teduh  spot foto banyak  warung makan juga banyak  tiap
33,chddsuhnmg9ns0vjq0fnsurqdc1ubdrnrrab,seminggu lalu,by dika ramadhani,4 bintang,keren banget tempatnya  perjalanan yg nanjak dan mengerikan bs terbayar dgn cantiknya air terjun di sungai mudal ini
34,chzdsuhnmg9ns0vjq0fnsunqafbqau5beae,seminggu lalu,kendo palan,5 bintang,sangat menyenangkan piknik ke tempat wisata jogja saya sangat senang krana drevernya sangat ramah mobil bersih nyaman dan yg pling saya suka drever tau tentang tempat wisata  trimakasih atas pelayananya yg sangat bagus
35,chddsuhnmg9ns0vjq0fnsurqczhqbmp3rrab,seminggu lalu,nicho cahya,5 bintang,htm k parkir luas air nya jernih bersih   ada warung tempat ngopi dan ngindomiee
36,chzdsuhnmg9ns0vjq0fnsurqlxbqeer3eae,seminggu lalu,afifah nur i,4 bintang,bagus si wisatannya worth it dengan htm masuk  rb  orang dan ditambah parkir  rb buat motor tapi minusnya jalan keluarnya nanjakk poll ngga dikasih tangga malahan parkir mobil motornya di atass wkwkw jadi jalannya agak efforts ya wakn
37,chddsuhnmg9ns0vjq0fnsurqazdqbmhrrrab,seminggu lalu,jogja stell,5 bintang,sangatlah puas
38,chddsuhnmg9ns0vjq0fnsurqndrystnnrrab,seminggu lalu,ari dwi,5 bintang,mantap
39,chddsuhnmg9ns0vjq0fnsurqbzr2wjn3rrab,seminggu lalu,muhammad azwar,4 bintang,bagus cuman lebih diperhatikan lagi pengarahan lokasi parkir yang nyaman dan mudah di akses pada wisatawan
40,chzdsuhnmg9ns0vjq0fnsurqm2rha1hbeae,2 minggu lalu,miswadi miswadi,5 bintang,sejuk  suasana alam banget penjual yg dkt parkiran ramah
41,chzdsuhnmg9ns0vjq0fnsurqdgrfmwr3eae,2 minggu lalu,septiana theana,4 bintang,salah satu tempat wisata di kulon progo yang wajib dikunjungi
42,chddsuhnmg9ns0vjq0fnsurqlweymgpnrrab,2 minggu lalu,ragil nugroho,5 bintang,suasananya segar  cocok untuk melepas penat
43,chzdsuhnmg9ns0vjq0fnsurqlwnqderneae,2 minggu lalu,taufik hadi,5 bintang,tempat beli suasana
44,chzdsuhnmg9ns0vjq0fnsurqdwu2s1fneae,2 minggu lalu,ayu cofee centong,3 bintang,bagus  asri ramah untuk anak
45,chzdsuhnmg9ns0vjq0fnsurqz2zprvzneae,2 minggu lalu,muhammad zulfahri,3 bintang,tempatnya bagus
46,chddsuhnmg9ns0vjq0fnsurqc3nhm2dnrrab,2 minggu lalu,nicholas xie,5 bintang,tempatnya indah  airnya biru dan segar juga  defoe yang direkomendasikan
47,chzdsuhnmg9ns0vjq0fnsurqmhriykrneae,2 minggu lalu,dony kukuh,5 bintang,destinasi main air alami akses mudah bayar murah makanan juga murah  toppp
48,chzdsuhnmg9ns0vjq0fnsurqa3nicgzneae,2 minggu lalu,andang vibbeta22,5 bintang,seger banget
49,chzdsuhnmg9ns0vjq0fnsurqa3ryr09neae,2 minggu lalu,reza hendrawan,5 bintang,hampir semua pelayanan di tempat ini ok banget  petugasnya helpfull  warung penjual makanannya pun ramah dan harganya wajar  airnya duingiin seger  cm tinggal tempat mandinya aja yg diperbanyak  selebihnya dah ok banget
50,chddsuhnmg9ns0vjq0fnsurqbktimxznrrab,2 minggu lalu,didot pamungkas,5 bintang,menyenangkan
51,chddsuhnmg9ns0vjq0fnsurqdu1mohb3rrab,3 minggu lalu,luluk bahiroh,5 bintang,recommended bgtt lah pokoknya
52,chzdsuhnmg9ns0vjq0fnsunqcjg2x0dneae,3 minggu lalu,evy diana,5 bintang,pas dtg ksnaa kondisi ramee bgt  htm rb tmptnya sejukk  ademm dan airnya bening
53,chddsuhnmg9ns0vjq0fnsunqluplr3j3rrab,3 minggu lalu,rias andri gunanto,5 bintang,jogjakarta
54,chddsuhnmg9ns0vjq0fnsunqczhhujvbrrab,3 minggu lalu,gunawan prabowo,5 bintang,wisata alam atau wisata air yang sangat bagus untuk dikunjungi  mata air yang alami memancarkan aliran air yang jernih kebiruan pada puncak air terjunnya seperti dari dalam goa kecil  sangat bersih dan jernih airnya
55,chzdsuhnmg9ns0vjq0fnsunqazyzmflreae,3 minggu lalu,kentrix hartanta,5 bintang,satu kata  takjub
56,chzdsuhnmg9ns0vjq0fnsunqlxm2de5neae,4 minggu lalu,quthrotur rodliyah,5 bintang,tempatnya berada di kab kulon progo berada di ketinggian jalanan cukup menanjak mobil matic tidak disarakan bila pengemudi kurang terampil bila menggunakan maps disarankan lewat waduk sermo jalan lebih lebar biarpun sedikit lebih jauh
57,chddsuhnmg9ns0vjq0fnsunqbhrux19rrrab,4 minggu lalu,mintz,5 bintang,kedua kalinya ke sini  view  deket parkiran yg atas bagus banget air nya biru jernih  dari sumber mata air langsung bukan kaporit  apalagi yg  meter behhh mantep bisa terjun dari bebatuan nya bagi yg belum bisa renang harap pakai pelampung
58,chddsuhnmg9ns0vjq0fnsunqnnbmnxjbrrab,sebulan lalu,ibrahim dakis,5 bintang,asik  jajanan makanan di warung warung sana harganya normal wajar  sama dengan di minimarket umumnya
59,chddsuhnmg9ns0vjq0fnsunqcxfttdv3rrab,sebulan lalu,anisa wahyuningsih,5 bintang,tempat favorit  kadang sebulan sekali pasti ke sini
60,chzdsuhnmg9ns0vjq0fnsunqexvitwjneae,sebulan lalu,abu coto (anas),5 bintang,keren banget
61,chzdsuhnmg9ns0vjq0fnsunqng9ha1pbeae,sebulan lalu,suhartono tono,5 bintang,nyaman sangat natural
62,chzdsuhnmg9ns0vjq0fnsunqdepqyu53eae,sebulan lalu,alvionita wahyu,5 bintang,jalannya lumayan jauh dari parkiran ke kolam utama  tangganya tinggi jadi bikin nafas putus  harganya cukup murah yaitu  rb an  meskipun hari lebaran
63,chzdsuhnmg9ns0vjq0fnsunqbephrmrneae,sebulan lalu,tentrem kenik,5 bintang,tempat wisata yang indah   tiket masuk murah   puas banget pokoknya
64,chzdsuhnmg9ns0vjq0fnsunqnkpxsenneae,sebulan lalu,hiyak hiyak,5 bintang,akses dan fasilitas sip bgt sih  udah ada jembatan  peta lokasi  petunjuk arah  toilet juga banyak  ada kantin yang tersebar di dalam  ada beberapa kolam renang  jadi ga terlalu berdesakan  tempat bersih terawat  air jernih biru seger
65,chzdsuhnmg9ns0vjq0fnsunqeupfevfreae,sebulan lalu,adriano muhammad rafi,5 bintang,bagus tempat nya  sesuai foto  airnya biru  dingin juga  ada sewa pelampung k sama ban k
66,chddsuhnmg9ns0vjq0fnsunqeutxrnfnrrab,sebulan lalu,purbo christianto,5 bintang,tempat wisata alam yang rapi  bersih  dan indah  tiket masuk rp     dan makanan juga murah  fasilitas lengkap  petugas juga banyak  hanya mungkin kalau hujan  jalan dan tangga akan licin
67,chddsuhnmg9ns0vjq0fnsunqeulechnrrrab,sebulan lalu,agus hidayatullah,5 bintang,wisata terbaik selama berada di jogja  perjalanannya juga sangat menantang
68,chddsuhnmg9ns0vjq0fnsunqz0tmdwtrrrab,sebulan lalu,windarti win,5 bintang,pertama kali kesini pas dengan cuaca yang cerah  jadi makin berr aja buat ciblon disini tempat nyaman biarpun ramai
69,chzdsuhnmg9ns0vjq0fnsurems1hbex3eae,sebulan lalu,daffa 10,5 bintang,air nya dingin blass
70,chddsuhnmg9ns0vjq0fnsureec1lznz3rrab,sebulan lalu,bambang sutrisno,4 bintang,adem bgt
71,chzdsuhnmg9ns0vjq0fnsureadhpzflbeae,sebulan lalu,dika kurniawan,5 bintang,tidak mengecewakan
72,chddsuhnmg9ns0vjq0fnsurebtgzzhlnrrab,sebulan lalu,sul toni,5 bintang,libura ke sungai mudal kaya masuk ke supermarket anjimmm   klo sehabis  bertransaksi  petugasnya slalu ngomong trimakasihh   dan petugasnya gk ada yg makan gaji buta   semuanya kerja   sampe keliling mantau para pengunjung   liat
73,chzdsuhnmg9ns0vjq0fnsurenjy2bkf3eae,sebulan lalu,fathur rahman,5 bintang,keren
74,chddsuhnmg9ns0vjq0fnsurenjvpbf93rrab,sebulan lalu,dwi sinta,5 bintang,baguss     masuknya rb orang  tapi ga keatas   capek naik tangganya tinggi banget
75,chzdsuhnmg9ns0vjq0fnsureev9lvuvreae,sebulan lalu,guswanaji haryo kusumo,5 bintang,tempat wisata murah meriah
76,chzdsuhnmg9ns0vjq0fnsurebzz2nuvreae,sebulan lalu,indria,5 bintang,kesini dadakan bgtt berangkat dari purworejo jam   siang  karena jalannya berkelok  takut bgt sampe sana tutup  termyata di jam   masih bisa beli tiket dan sampe jam     tempatnya ademmm  nyesel gabawa ganti buat mandi di airnya
77,chzdsuhnmg9ns0vjq0fnsurex2vuzerreae,sebulan lalu,devista p. karolina,5 bintang,ramai saat peak season dan ada terapi ikan  di puncak air terjun terdapat sumber mata air dan perlu waktu sekitar  menit untuk mencapainya dengan menaiki tangga
78,chddsuhnmg9ns0vjq0fnsurebgnlwxfbrrab,sebulan lalu,anggit sofiah,5 bintang,mohon untuk waktu tdk dibatasi jam   bisa diperpanjang jam  
79,chddsuhnmg9ns0vjq0fnsurecfpmndrbrrab,sebulan lalu,qthink doank,5 bintang,mantab medan ke lokasi  pastikan ban dan rem aman hati saat hujan
80,chzdsuhnmg9ns0vjq0fnsureewjhmuxreae,sebulan lalu,eben haezer,5 bintang,air terjunnya bersih dan masih asri  cocok dijadikan tempat destinasi wisata keluarga
81,chzdsuhnmg9ns0vjq0fnsureb2nhrkrneae,sebulan lalu,joko kristanto,5 bintang,mohon maaf  kami datang pas hari lebaran jadi kami tidak bisa masuk ke area wisata  datanglah bukan hari raya besar pasti akan banyak hal yang akan kalian terima  foto  makanan  kesejukan dan   teduh
82,chddsuhnmg9ns0vjq0fnsursngjyqm9nrrab,sebulan lalu,adi riyanto,5 bintang,direkomendasikan
83,chddsuhnmg9ns0vjq0fnsuremk4td3zrrrab,sebulan lalu,sri lestari iskandar,4 bintang,nice place and wonderful trip to kulon progo  sungai mudal yang cantik dengan support alam dan keramahtamahan penduduk lokal adalah saya tarik tersendiri untuk kami akan datang lagi dan lagi      cantik view nya dan keren kultur masyarakatnya
84,chddsuhnmg9ns0vjq0fnsureoupeunvbrrab,sebulan lalu,teo tri herlambang,4 bintang,walau melewati perjalanan yg cukup ekstrim  namun ketika sdh sampai disana terbayar lunas semuanya
85,chzdsuhnmg9ns0vjq0fnsuremulpdlhreae,sebulan lalu,joko purwantoro,5 bintang,bagus banget  airnya super jernih  tempat bermain air luas di setiap air terjunnya   ada terapi ikan juga  suasanannsa nyegerin   inpo perjalanan dan suasana lebih lengkapnya cek aja di youtube ojo lali dolan
86,chddsuhnmg9ns0vjq0fnsunendzmtdhrrrab,sebulan lalu,elise putri maharani,5 bintang,bagus  sepi pas hari kerja
87,chzdsuhnmg9ns0vjq0fnsuneegjlalb3eae,sebulan lalu,afif nurraihan,5 bintang,tempatnya bagus  indah banget  airnya sejuk  ada fasilitas sewa ban  rompi pelampung  dan celana pendek bagi cowok   ada  gate parkir  saya sarankan di gate  yang akses menuju parkirnya tidak securam gate   tetapi bagi yang terbiasa
88,chzdsuhnmg9ns0vjq0fnsunec3jey1d3eae,sebulan lalu,kopi manis,5 bintang,menyenangkan  fresh  segar  murah meriah  alami  dari jogja lebih landai melalui jalan gua kiskenda lewat kantor kecamatan girimulyo
89,chzdsuhnmg9ns0vjq0fnsuq5ctvla1zreae,sebulan lalu,vinsensius sugiharsono,4 bintang,perlu penataan dan pengelolaan lebih baik dari pemda atau daerah setempat  agar lebih tertata dan menarik   secara alami tempatnya bagus dan oke
90,chzdsuhnmg9ns0vjq0fnsum5egzuegf3eae,2 bulan lalu,c. marsella,5 bintang,recommended    air di sungai mudal ini langsung dari mata air yang ada di dalam goa dan jadi
91,chddsuhnmg9ns0vjq0fnsuq5ckltbwxnrrab,2 bulan lalu,wahyu ramadhan,5 bintang,tempat bersih dan nyaman sayangnya agak becek mungkin karena efek pengunjung yang ramai dan musim penghujan
92,chddsuhnmg9ns0vjq0fnsuq5lupuzjhrrrab,2 bulan lalu,ayick pamungkas,5 bintang,keren
93,chddsuhnmg9ns0vjq0fnsum5bzrxu3pbrrab,2 bulan lalu,kanaya salsabila,4 bintang,air nya dingin bgt cocok kalau mau berendam pas panas  tapi kamar ganti kurang rekomended bgt
94,chzdsuhnmg9ns0vjq0fnsum5x3yzyuvreae,2 bulan lalu,vivin indarwati,5 bintang,wisata edukasi alam juga bisa
95,chzdsuhnmg9ns0vjq0fnsum5ou9qced3eae,2 bulan lalu,lothar albert cristian hutapea,5 bintang,luar biasaaaa
96,chzdsuhnmg9ns0vjq0fnsum5ouxioflreae,2 bulan lalu,tri muriana,5 bintang,adem dilengkapi splu pengisian motor listrij
97,chddsuhnmg9ns0vjq0fnsuntb3nmtnbbrrab,2 bulan lalu,aulia,4 bintang,disarankan kesini pas hari biasa  weekend rame bgt
98,chddsuhnmg9ns0vjq0fnsumtx2ntt2drrrab,2 bulan lalu,helmi santosa,5 bintang,tarif parkir rp     htm rp    fasilitas lengkap  toilet  wifi area  mushala  gazebo
99,chddsuhnmg9ns0vjq0fnsum5bup1rtr3rrab,2 bulan lalu,deky chandra,5 bintang,seru
100,chzdsuhnmg9ns0vjq0fnsum5b1bqzvhbeae,2 bulan lalu,jong hyeon kang,5 bintang,biaya masuknya   won  biaya parkir   won  dan ayam di pintu masuknya enak  menurut saya warna airnya bagus dan bagus untuk berfoto
101,chzdsuhnmg9ns0vjq0fnsurkctzlvmn3eae,2 bulan lalu,eko prabowo,5 bintang,airnya dingin dan nyegerin
102,chddsuhnmg9ns0vjq0fnsurkagu2t29rrrab,2 bulan lalu,zanuar didik bintoro,5 bintang,nuansanya sejuk  airnya dingin seger
103,chzdsuhnmg9ns0vjq0fnsurklvlmse9beae,2 bulan lalu,sialdo remi,5 bintang,tempatnya bagus banyak kolam dengan kedalaman bervariasi
104,chzdsuhnmg9ns0vjq0fnsurkbvpib0zneae,2 bulan lalu,"kunengkeneki 1,1 rb subscriber hehe",1 bintang,blm pernah disuruh kasi bintang oleh google
105,chzdsuhnmg9ns0vjq0fnsunrltgyc0zreae,2 bulan lalu,fr andreas,5 bintang,salah satu spot wisata air  terjun   pemandian  dan rekreasi air terbaik di kulonprogo  dengan air alami dari mata air pengunungan yg sejuk dan segar  terletak di perbukitan menoreh yg asri dan hijau  membuat piknik kita semakin menyenangkan
106,chddsuhnmg9ns0vjq0fnsurkchzhz2hnrrab,2 bulan lalu,bryan not wibu,5 bintang,tempat yang bagus
107,chddsuhnmg9ns0vjq0fnsurknhrfsjhnrrab,2 bulan lalu,jauza aqilah,5 bintang,what an amazing place ada banyak yg jualan  ada kolam yg atas dan juga yg bawah  yg bawah  meter yg atas cm cm  kamar mandinya juga banyak  ada musholla juga
108,chddsuhnmg9ns0vjq0fnsurkn0pqqmlbrrab,2 bulan lalu,azam,5 bintang,mantabbbb   emang cuman sungai mudal yang merupakan tempat wisata air terjun tapi dibuatin jalan full corr dari parkiran bawah sampai atas
109,chzdsuhnmg9ns0vjq0fnsurkde5qqwr3eae,2 bulan lalu,galih setyo,5 bintang,tempatnya asik banget untuk wisata akhir pekan bersama keluarga  tiket masuk  parkir    makanan murah   pokoknya perlu dicoba  untuk parkir mending di bawah  jangan ragu untuk jajan disini  meski tidak ada harganya tapi murah  jajan  pop mie   nasi bungkus     gorengan cuma habis  ribu  parkir mobil  ribu
110,chddsuhnmg9ns0vjq0fnsunkbuxxqzzrrrab,2 bulan lalu,nur rakhmat,5 bintang,sampai lokasi sekitar pukul   wib masih tidak begitu ramai masuk dari pintu bawah tapi saat coba nanjak ke area atas  pengunjung lebih ramai
111,chzdsuhnmg9ns0vjq0fnsurkavbts0jreae,3 bulan lalu,tyas titi,5 bintang,recommended banget main ke sini  menurutku ini wisata yang udah bener siap jadi wisata sesungguhnya
112,chddsuhnmg9ns0vjq0fnsunknthyuhr3rrab,3 bulan lalu,dian maryani,5 bintang,worth it air trjun  sungai  bsa renang jg  cntik jg cape naik turun tngga  kek ndaki gnung  pulng dr sni kaki pada sakit  tp happy
113,chzdsuhnmg9ns0vjq0fnsunkbv9hsvjreae,3 bulan lalu,bayu seto,5 bintang,mending liburan kesini jangan pas musim liburan  carilah waktu untuk hari libur anda  suasana akan lebih menyenangkan
114,chddsuhnmg9ns0vjq0fnsunknjvlynlbrrab,3 bulan lalu,mutual pembelajar mr. luqman,5 bintang,murah meriah  eksotik  lebih elok jika kelokasi naik sepeda motor  akan menikmati perjalanan yg super keren dan luar biasa
116,chddsuhnmg9ns0vjq0fnsunkalkzsjnbrrab,3 bulan lalu,fahrudin kongslet,5 bintang,airnya bening bgtt
117,chddsuhnmg9ns0vjq0fnsunkowzlbmhbrrab,3 bulan lalu,robiyanto dienlie,5 bintang,wisata mantap  cuma kolom anak anak sedikit lumutan  kalau bersih lebih seru lagi  ada warung yang menyediakan mendoan  mie rebus dan makanan lain  untuk rute cukup menanjak namun aspalnya bagus  persiapan kendaraan yang prima utamanya yang bertenaga dan memiliki rem yang baik
118,chzdsuhnmg9ns0vjq0fnsunkovl5c0hreae,3 bulan lalu,isna fatkhurrahman,5 bintang,cukup mengasyikkan  cocok utk hiling penghilang penat  meskipun jalan yang dilalui cukup ekstrim  namun pemandangannya juga bisa menjadi pengobat jalan yg ekstrim  apalagi kalau sudah sampai sana  penat seketika terobati
119,chddsuhnmg9ns0vjq0fnsumxce9fs2lbrrab,3 bulan lalu,asih suci wijayanti (uci wijayanti),5 bintang,menyenangkan   asik buat ciblon airnya dingin tapi g yg dingin banget  masih enak buat main air beraih juga
120,chzdsuhnmg9ns0vjq0fnsunkbnrys0n3eae,3 bulan lalu,syahrani lonang,5 bintang,salah satu wisata di yogyakarta yang bagus terletak di kulonprogo  tempatnya sangat terawat  harga karcis masuk cuma rb orang  menyuguhkan suasana yang asri dikelilingi banyak pohon dan suara air terjun yang membuat santai  warung didalam
121,chddsuhnmg9ns0vjq0fnsunkmxbinmlnrrab,3 bulan lalu,aditya raenda,4 bintang,disini sungainya sedikit tapi lebih banyak air terjunnya untuk tempat berendamnya juga tidak begitu banyak  jadi saat banyak pengunjung bisa membuat berdesak desakan
122,chddsuhnmg9ns0vjq0fnsunkakk2ohnrrrab,3 bulan lalu,pawestri ami,5 bintang,segerr asri bersih petugas ramah  recomend buat yang mo liburan ke kulon progo
123,chzdsuhnmg9ns0vjq0fnsunkaktqovh3eae,3 bulan lalu,marda tillah,5 bintang,jalannya pake google map sangat lama dan curam amat tidak disarankan pake mobil besar kayak pajero atau fortuner apalagi melewati jalan desa yang hanya bisa  kendaraan yang lewat dengan jalan terjal dan curam namun disuguhi oleh jangkrik  pemandangan indah dan juga keramahan warga saat bertanya saatlah menantang untuk kesini
124,chddsuhnmg9ns0vjq0fnsunkeeliujrnrrab,3 bulan lalu,david kurniawan yusuf,5 bintang,tempatnya keren
125,chddsuhnmg9ns0vjq0fnsunkees3nxdnrrab,3 bulan lalu,dimas1984,3 bintang,dilihat di google map terlutis  buka   contact person di telp g aktif dan wa centang   jauh kesini eh ternyata tutup
126,chzdsuhnmg9ns0vjq0fnsunknkludvh3eae,3 bulan lalu,mukhammad dzulfikar ubad 433,5 bintang,view nya bagus buat ngilangin rasa jenuh
127,chzdsuhnmg9ns0vjq0fnsunkc0ppmkr3eae,3 bulan lalu,robby prawira,4 bintang,jalan menuju lokasi uji skill dan adrenalin driver
128,chddsuhnmg9ns0vjq0fnsunkne5fbmpnrrab,3 bulan lalu,fatma kusumasari,5 bintang,airnya jernih  spot di aliran kolam terjunnya banyak  sebaiknya datang di musim panas  kemarin kesini hujan dan airnya sangat dingin   fasilitas toilet banyak  ada kolam untuk anak juga  namun kurang menarik
129,chddsuhnmg9ns0vjq0fnsur0otdhedb3rrab,3 bulan lalu,gilang atmaja,5 bintang,jalannya cukup terjal maka harus berhati
130,chzdsuhnmg9ns0vjq0fnsur0ctutukpbeae,3 bulan lalu,green dates,5 bintang,airnya dingin cuy  emot dingin
131,chzdsuhnmg9ns0vjq0fnsur0odzibmzreae,3 bulan lalu,sigit denso,5 bintang,ekowisata sungai mudal tempat lokasi di ketinggian pegunungan menoreh dengan pemandangan alamnya yang sangat indah
132,chddsuhnmg9ns0vjq0fnsur0zzgyujdnrrab,3 bulan lalu,tony kraier,5 bintang,kemungkinan terbaik untuk berenang ada di platform paling atas  tangganya licin  hati hati
133,chddsuhnmg9ns0vjq0fnsur0n1piszhnrrab,3 bulan lalu,abdulloh labiib,5 bintang,tempat yang sangat cocok untuk main ke alam suasana syahdu alam nya dapatt air terjun jernih bersih aesthetic place
134,chddsuhnmg9ns0vjq0fnsur0ewzxx2xnrrab,3 bulan lalu,yoga why,4 bintang,tempat asri dan alami  air bener jernih  tersedia kamar mandi dan kloset duduk
